column,dtype,missing_count,missing_percent,unique_values
id,float64,2260668,100.0,0
member_id,float64,2260668,100.0,0
loan_amnt,int64,0,0.0,1572
funded_amnt,int64,0,0.0,1572
funded_amnt_inv,float64,0,0.0,10057
term,str,0,0.0,2
int_rate,float64,0,0.0,673
installment,float64,0,0.0,93296
grade,str,0,0.0,7
sub_grade,str,0,0.0,35
emp_title,str,166969,7.385825782467837,512694
emp_length,str,146907,6.498388971755251,11
home_ownership,str,0,0.0,6
annual_inc,float64,4,0.00017693885170224022,89368
verification_status,str,0,0.0,3
issue_d,str,0,0.0,139
loan_status,str,0,0.0,9
pymnt_plan,str,0,0.0,2
url,float64,2260668,100.0,0
desc,str,2134603,94.42355091503927,124500
purpose,str,0,0.0,14
title,str,23326,1.0318189137016138,63154
zip_code,str,1,4.4234712925560055e-05,956
addr_state,str,0,0.0,51
dti,float64,1711,0.07568559381563325,10845
delinq_2yrs,float64,29,0.0012828066748412415,37
earliest_cr_line,str,29,0.0012828066748412415,754
inq_last_6mths,float64,30,0.0013270413877668017,28
mths_since_last_delinq,float64,1158502,51.246003393687175,173
mths_since_last_record,float64,1901512,84.11283744450755,129
open_acc,float64,29,0.0012828066748412415,91
pub_rec,float64,29,0.0012828066748412415,43
revol_bal,int64,0,0.0,102251
revol_util,float64,1802,0.07971095269185922,1430
total_acc,float64,29,0.0012828066748412415,152
initial_list_status,str,0,0.0,2
out_prncp,float64,0,0.0,364399
out_prncp_inv,float64,0,0.0,377353
total_pymnt,float64,0,0.0,1608307
total_pymnt_inv,float64,0,0.0,1299089
total_rec_prncp,float64,0,0.0,487427
total_rec_int,float64,0,0.0,629835
total_rec_late_fee,float64,0,0.0,17991
recoveries,float64,0,0.0,127920
collection_recovery_fee,float64,0,0.0,140449
last_pymnt_d,str,2426,0.1073134135574087,135
last_pymnt_amnt,float64,0,0.0,692560
next_pymnt_d,str,1303607,57.66468141275056,105
last_credit_pull_d,str,73,0.0032291340435658842,140
collections_12_mths_ex_med,float64,145,0.006414033374206208,16
mths_since_last_major_derog,float64,1679893,74.30958460065786,183
policy_code,int64,0,0.0,1
application_type,str,0,0.0,2
annual_inc_joint,float64,2139958,94.66042780275565,17633
dti_joint,float64,2139962,94.66060474160734,4018
verification_status_joint,str,2144938,94.88071667312494,3
acc_now_delinq,float64,29,0.0012828066748412415,9
tot_coll_amt,float64,70276,3.1086386855566586,15574
tot_cur_bal,float64,70276,3.1086386855566586,487688
open_acc_6m,float64,866130,38.31301190621533,19
open_act_il,float64,866129,38.312967671502406,54
open_il_12m,float64,866129,38.312967671502406,19
open_il_24m,float64,866129,38.312967671502406,31
mths_since_rcnt_il,float64,909924,40.25022692407731,405
total_bal_il,float64,866129,38.312967671502406,162249
il_util,float64,1068850,47.28027291048487,280
open_rv_12m,float64,866129,38.312967671502406,29
open_rv_24m,float64,866129,38.312967671502406,50
max_bal_bc,float64,866129,38.312967671502406,33726
all_util,float64,866348,38.32265507363311,188
total_rev_hi_lim,float64,70276,3.1086386855566586,34220
inq_fi,float64,866129,38.312967671502406,33
total_cu_tl,float64,866130,38.31301190621533,62
inq_last_12m,float64,866130,38.31301190621533,48
acc_open_past_24mths,float64,50030,2.2130626876657695,57
avg_cur_bal,float64,70346,3.1117351154614474,88597
bc_open_to_buy,float64,74935,3.314728213076843,91500
bc_util,float64,76071,3.3649788469602786,1494
chargeoff_within_12_mths,float64,145,0.006414033374206208,11
delinq_amnt,float64,29,0.0012828066748412415,2617
mo_sin_old_il_acct,float64,139071,6.151765761270562,566
mo_sin_old_rev_tl_op,float64,70277,3.108682920269584,787
mo_sin_rcnt_rev_tl_op,float64,70277,3.108682920269584,333
mo_sin_rcnt_tl,float64,70276,3.1086386855566586,232
mort_acc,float64,50030,2.2130626876657695,47
mths_since_recent_bc,float64,73412,3.247358745291215,546
mths_since_recent_bc_dlq,float64,1740967,77.01117545787352,177
mths_since_recent_inq,float64,295435,13.068482413162835,26
mths_since_recent_revol_delinq,float64,1520309,67.25043217314528,179
num_accts_ever_120_pd,float64,70276,3.1086386855566586,44
num_actv_bc_tl,float64,70276,3.1086386855566586,42
num_actv_rev_tl,float64,70276,3.1086386855566586,57
num_bc_sats,float64,58590,2.591711830308564,60
num_bc_tl,float64,70276,3.1086386855566586,76
num_il_tl,float64,70276,3.1086386855566586,122
num_op_rev_tl,float64,70276,3.1086386855566586,81
num_rev_accts,float64,70277,3.108682920269584,117
num_rev_tl_bal_gt_0,float64,70276,3.1086386855566586,50
num_sats,float64,58590,2.591711830308564,91
num_tl_120dpd_2m,float64,153657,6.796973284002782,7
num_tl_30dpd,float64,70276,3.1086386855566586,5
num_tl_90g_dpd_24m,float64,70276,3.1086386855566586,34
num_tl_op_past_12m,float64,70276,3.1086386855566586,33
pct_tl_nvr_dlq,float64,70431,3.11549506606012,690
percent_bc_gt_75,float64,75379,3.334368425615791,284
pub_rec_bankruptcies,float64,1365,0.06038038314338948,12
tax_liens,float64,105,0.0046446448571838056,42
tot_hi_cred_lim,float64,70276,3.1086386855566586,529972
total_bal_ex_mort,float64,50030,2.2130626876657695,212777
total_bc_limit,float64,50030,2.2130626876657695,20309
total_il_high_credit_limit,float64,70276,3.1086386855566586,194137
revol_bal_joint,float64,2152648,95.221766309781,56875
sec_app_earliest_cr_line,str,2152647,95.22172207506809,663
sec_app_inq_last_6mths,float64,2152647,95.22172207506809,7
sec_app_mort_acc,float64,2152647,95.22172207506809,23
sec_app_open_acc,float64,2152647,95.22172207506809,67
sec_app_revol_util,float64,2154484,95.30298124271232,1216
sec_app_open_act_il,float64,2152647,95.22172207506809,40
sec_app_num_rev_accts,float64,2152647,95.22172207506809,86
sec_app_chargeoff_within_12_mths,float64,2152647,95.22172207506809,22
sec_app_collections_12_mths_ex_med,float64,2152647,95.22172207506809,18
sec_app_mths_since_last_major_derog,float64,2224726,98.41011594802951,140
hardship_flag,str,0,0.0,2
hardship_type,str,2250055,99.53053699172104,1
hardship_reason,str,2250055,99.53053699172104,9
hardship_status,str,2250055,99.53053699172104,3
deferral_term,float64,2250055,99.53053699172104,1
hardship_amount,float64,2250055,99.53053699172104,8950
hardship_start_date,str,2250055,99.53053699172104,26
hardship_end_date,str,2250055,99.53053699172104,27
payment_plan_start_date,str,2250055,99.53053699172104,26
hardship_length,float64,2250055,99.53053699172104,1
hardship_dpd,float64,2250055,99.53053699172104,34
hardship_loan_status,str,2250055,99.53053699172104,5
orig_projected_additional_accrued_interest,float64,2252242,99.62727830888923,7313
hardship_payoff_balance_amount,float64,2250055,99.53053699172104,10591
hardship_last_payment_amount,float64,2250055,99.53053699172104,8795
disbursement_method,str,0,0.0,2
debt_settlement_flag,str,0,0.0,2
debt_settlement_flag_date,str,2227612,98.53777732953269,82
settlement_status,str,2227612,98.53777732953269,3
settlement_date,str,2227612,98.53777732953269,89
settlement_amount,float64,2227612,98.53777732953269,21519
settlement_percentage,float64,2227612,98.53777732953269,2045
settlement_term,float64,2227612,98.53777732953269,40
